wavelength,BLK2211141_1_5s,BLK2211142_1_5s,MCSN0922211011340_1_5s,MCSN0942211010937_1_5s,MCSN0982211011046_1_5s,postTea221114_1_5s,preTea221114_1_5s
293,0.0002899798279569,0.000882044899277497,0.0506726046329046,0.0462165833291952,0.0699318334734854,0.105520488711528,0.10415421560755
296,0.000253524068391031,0.000789873522407298,0.0481867318491219,0.0439754255236367,0.0664797862604758,0.0954121011070339,0.094074852917918
299,9.85183773069056e-05,0.000652479808685826,0.045988810966754,0.0421005537820414,0.0634632714521822,0.0885415725306631,0.0873034447478552
302,0.00019838605340036,0.000604969770046273,0.0438183166661173,0.0401325613661886,0.060413300022318,0.0827379876191558,0.0815810422112642
305,5.68499797308436e-05,0.000506386904933407,0.0418489457109276,0.0384253637041825,0.0577668120885492,0.0782194585873296,0.0771314965931908
308,-1.54113224935576e-05,0.000336464269409865,0.0399868101152214,0.0366945641294021,0.0552033684289062,0.073828746676012,0.0727544235017656
311,8.78756041162005e-06,0.000385647011453307,0.0381514326625232,0.0351791310669678,0.0528051870024073,0.0698636785334346,0.0688391798696269
314,3.43692210974168e-05,0.000397359013842434,0.0365890730271375,0.0337660032011399,0.0506114785807705,0.0666884755973524,0.0657055086067354
317,8.95040535416633e-05,0.000393972934641216,0.0348757550616874,0.0321784604291203,0.0483485170855704,0.0636194206435888,0.0627576987610493
320,0.000129283119570388,0.000318504071578268,0.0333943576623083,0.0308852912139822,0.0462372180928942,0.0614570257642008,0.0606079628347345
323,9.00788977082525e-05,0.000250289224319738,0.031833785439791,0.0295506335362856,0.0441672024139344,0.059693155281012,0.0588651650932048
326,3.38475173279727e-05,0.000116758857880733,0.0304493170028982,0.0283585444110082,0.0423685610280708,0.0582410963906562,0.0574547444440194
329,-4.22848303458747e-06,7.98783995120765e-05,0.0289601533518084,0.0269376990837836,0.0402484997639678,0.0568325509484336,0.0561602701061748
332,-2.76283939809681e-05,0.000138777565048432,0.0275394270027101,0.0257041392300675,0.0383270334714678,0.0556525424330659,0.0550182502675734
335,4.68972448882902e-05,5.00169261926514e-05,0.0263658095270104,0.0245643507122532,0.0364829892647031,0.0546489529267615,0.053945276105699
338,2.58436141700899e-06,1.05969069711324e-05,0.0248661426129762,0.0232911465519248,0.0345887871681948,0.0534449169524484,0.0528122461395636
341,1.71957742411689e-05,1.18630389207652e-05,0.0237434984681915,0.0222603013739083,0.0329598514995901,0.0523305100109539,0.0517037238097516
344,4.42674559709466e-05,-0.000107526994387193,0.0225108119231952,0.0209953065758379,0.0311590967779385,0.0510289407878211,0.0504479864924738
347,-1.62023068140596e-05,-4.04877254979005e-05,0.0214170966611384,0.0200123942267621,0.0296398362653316,0.0497154435580625,0.0491819272558629
350,1.21909616916365e-05,-7.23291485444182e-05,0.0202918093390945,0.0190462961212008,0.0280498809747263,0.0482782748028322,0.0477197510580404
353,-4.55300204135562e-05,-0.00012939444543871,0.0192343515250173,0.0180586359359358,0.0266517935118702,0.0465524025811427,0.0460445896279569
356,-3.2959380867856e-05,-8.12255019729633e-05,0.0183898525384119,0.0171786326438172,0.02529901310268,0.0447596817328864,0.0442895305529068
359,-8.32936413758684e-05,-0.000164450983459482,0.0172540514873266,0.016197416889922,0.0238071570913493,0.0425810707027606,0.0421269693504427
362,-3.91951202057151e-06,-0.000129871900685144,0.0164912309421324,0.0154708049095628,0.0226735512127079,0.0404654308681037,0.0400375242931172
365,-1.2808383499103e-05,-0.000161244559264384,0.0156625331125866,0.014612885076252,0.0213986659200234,0.0381188512630331,0.0377494214981663
368,-4.98603151485681e-05,-0.000257470634885091,0.0147928404590382,0.0138833688826232,0.0203349465131379,0.0355290004966507,0.0351644120738318
371,-0.000103369167971642,-0.000277764264774139,0.0140179973494872,0.0131038622335907,0.019167059860606,0.0330815712410053,0.0327097880312101
374,-7.18250092210421e-05,-0.000244893220537942,0.0132118225338751,0.0123868977098851,0.018153239965546,0.0304975255810952,0.0300818029521509
